E-001,E-002,E-003,E-004,E-005,M-006,M-007,M-008,SubTot,Total
209113,276902,179120,105485,8859,465,4,3,, 
209340,277330,179396,105666,8948,465,4,3,, 
227,428,276,181,89,0,0,0,1201, 
209340,277330,179396,105666,8948,465,4,3,, 
209616,277766,179633,105707,8948,465,4,3,, 
276,436,237,41,0,0,0,0,990, 
209616,277766,179633,105707,8948,465,4,3,, 
209701,277919,179646,105737,8948,465,4,3,, 
85,153,13,30,0,0,0,0,281, 
209701,277919,179646,105737,8948,465,4,3,, 
209714,277933,179646,105737,8948,465,4,3,, 
13,14,0,0,0,0,0,0,27,2499
