"Mês/Ano";"Abrangência";"Quantidade";"%";
"Julho - 2018";"AC";"547.680";"0,372"
"";"AL";"2.187.967";"1,485"
"";"AM";"2.428.098";"1,648"
"";"AP";"512.110";"0,348"
"";"BA";"10.393.170";"7,056"
"";"CE";"6.344.483";"4,307"
"";"DF";"2.084.356";"1,415"
"";"ES";"2.754.728";"1,870"
"";"GO";"4.454.497";"3,024"
"";"MA";"4.537.237";"3,080"
"";"MG";"15.700.966";"10,659"
"";"MS";"1.877.982";"1,275"
"";"MT";"2.330.281";"1,582"
"";"PA";"5.499.283";"3,733"
"";"PB";"2.867.649";"1,947"
"";"PE";"6.570.072";"4,460"
"";"PI";"2.370.894";"1,610"
"";"PR";"7.971.087";"5,411"
"";"RJ";"12.406.396";"8,422"
"";"RN";"2.373.619";"1,611"
"";"RO";"1.175.733";"0,798"
"";"RR";"331.490";"0,225"
"";"RS";"8.354.732";"5,672"
"";"SC";"5.070.212";"3,442"
"";"SE";"1.577.058";"1,071"
"";"SP";"33.040.411";"22,430"
"";"TO";"1.039.439";"0,706"
"";"ZZ";"500.727";"0,340"
"Mês/Ano Total:";"";"147.302.357";""
"Total Geral";"";"147.302.357";""
